No.,出庫,地金,アイテム,中石,サイズ,品番,上代,下代,脇石,チェーン長,摘要,入力者,入庫日,下代（数値）
128,FALSE,Pt900,リング,ダイヤ,CT,03B-334-100,"340,000",104316,0.20ct,,,tanaka,2024/01/04,"24,300"
129,FALSE,Pt900,リング,ダイヤ,CT,03B-56-100,"420,000",104173,0.59ct,,,河野,2022/03/09,"40,000"
130,FALSE,Pt900,リング,ダイヤ,CT,03B-83-100,"420,000",104904,0.53ct,,,SK,2015/07/23,"43,000"
131,FALSE,Pt900,リング,ダイヤ,CT,03K-12-100,"400,000",20441,0.41ct,,,河野,2022/03/09,"36,000"
132,FALSE,Pt900,リング,ダイヤ,CT,03K-12-100,"450,000",103482,0.37ct,,,tanaka,2023/11/14,"38,000"
133,FALSE,Pt900,リング,ダイヤ,CT,03K-37-100,"350,000",102796,0.46ct,,,nakamura,2020/06/20,"23,000"
134,FALSE,Pt900,リング,ダイヤ,CT,03K-39-100,"320,000",20625,0.20ct,,,yoshida,2022/12/09,"20,500"
135,FALSE,Pt900,リング,ダイヤ,CT,03K-48-100,"390,000",107582,0.44ct,,,furuya,2020/07/11,"38,500"
136,FALSE,Pt900,リング,ダイヤ,CT,03K-58-100,"594,000",105244,0.51ct,,,furuya,2020/07/11,"44,500"
137,FALSE,Pt900,リング,ダイヤ,CT,03K-60-100,"350,000",104536,0.28ct,,,nakayama,2015/03/27,"26,000"
138,FALSE,Pt900,リング,ダイヤ,CT,03K-60-100,"400,000",104454,0.32ct,,,tanaka,2023/11/14,"35,500"
139,FALSE,Pt900,リング,ダイヤ,CT,03K-73-100,"570,000",1011077,0.78ct,,,muro,2017/07/28,"33,000"
140,FALSE,Pt900,リング,ダイヤ,CT,04A-289-100,"300,000",105975,,,,nakajima,2025/01/16,"24,300"
141,FALSE,Pt900,リング,ダイヤ,CT,04A-387-100,"240,000",104252,,,,tanaka,2023/11/14,"24,000"
142,FALSE,Pt900,リング,ダイヤ,CT,04A-427-100,"250,000",105154,,,,河野,2022/03/09,"18,000"
143,FALSE,Pt900,リング,ダイヤ,CT,04A-459-100,"220,000",104066,,,,fujita,2023/12/05,"36,000"
144,FALSE,Pt900,リング,ダイヤ,CT,04B-57-100,"570,000",106366,0.38ct,,,komaki,2017/08/07,"40,000"
145,FALSE,Pt900,リング,ダイヤ,CT,04B-57-100pink,"980,000",30179,0.35ct,,Pink=0.35ct/No.181242,不明,不明,"29,000"
146,FALSE,Pt900,リング,ダイヤ,CT,04K-13-100,"520,000",104054,0.70ct,,,KOUNO,2019/09/26,"32,000"
147,FALSE,Pt900,リング,ダイヤ,CT,04K-14-100,"510,000",20555,0.52ct,,,fujita,2025/05/28,"31,500"
148,FALSE,Pt900,リング,ダイヤ,CT,04K-14-100,"650,000",104204,0.51ct,,,小牧,2023/09/06,"29,000"
